"altura","genero","contextura_madre","altura_madre"
175.6,"M","alta",162.7
170.7,"M","mediana",159.7
172.2,"M","mediana",161.5
169.5,"M","mediana",156.9
159.3,"F","mediana",160.8
170.5,"M","mediana",161.6
159.6,"F","bajita",155.9
162.9,"F","alta",163.3
155.4,"F","mediana",157.2
160.3,"F","mediana",160.1
174,"M","alta",164.6
173.2,"M","mediana",160.9
169.8,"M","bajita",155.3
169.1,"M","alta",162.5
166.2,"M","bajita",154.2
162.2,"F","bajita",155.7
158.1,"F","mediana",158.8
167.5,"M","mediana",160.8
157.8,"F","mediana",161
155.3,"F","mediana",160.3
174.4,"M","bajita",155.6
154.1,"F","bajita",155.3
157.7,"F","mediana",157
168.6,"M","mediana",156.7
155.1,"F","mediana",159.1
176.7,"M","mediana",156.4
173.8,"M","alta",162.2
168.8,"M","mediana",156.8
162.7,"F","mediana",161.2
164.3,"F","mediana",158.9
171.2,"M","mediana",161
165.7,"F","mediana",159.2
167.8,"M","mediana",156.5
174.3,"M","mediana",157.8
161.2,"F","alta",162.7
174.1,"M","mediana",159.8
174.7,"M","mediana",160
172.4,"M","mediana",157.1
163.4,"F","mediana",161.2
175.8,"M","mediana",160.3
172.1,"M","mediana",161.5
169.7,"M","mediana",158.4
172,"M","mediana",157.9
168.6,"M","mediana",160.2
171.9,"M","alta",163.2
175,"M","mediana",161.5
160.1,"F","bajita",154.3
171,"M","bajita",153
155.7,"F","mediana",161.1
174.5,"M","alta",164.2
157.6,"F","mediana",157.6
173.3,"M","mediana",159.4
173.2,"M","mediana",157
168.7,"M","bajita",155.5
163.9,"F","mediana",160.1
170.1,"M","mediana",157.6
158.4,"F","mediana",156.9
172.7,"M","alta",163.5
157.9,"F","mediana",158.5
159.5,"F","bajita",155.3
160.1,"F","mediana",162
173.9,"M","mediana",161.2
174.8,"M","mediana",156.7
175.7,"M","mediana",157
170.5,"M","mediana",157.4
173.9,"M","mediana",156
172.4,"M","mediana",161.5
174.9,"M","mediana",161.4
157.3,"F","mediana",158.4
157.7,"F","mediana",156.8
158.4,"F","alta",162.5
158.3,"F","mediana",158.2
161.5,"F","alta",162.5
155,"F","mediana",159.1
171.3,"M","alta",163.7
177.2,"M","alta",166.4
173.5,"M","mediana",158.9
157.8,"F","mediana",160.1
161.4,"F","bajita",155.7
171.1,"M","mediana",158.8
158.8,"F","mediana",159.2
174.4,"M","mediana",159.9
167.7,"M","mediana",160.8
170.4,"M","alta",163.6
169.3,"M","mediana",156.7
158.1,"F","mediana",158.8
160.9,"F","alta",162.9
160.6,"F","mediana",158.2
174.1,"M","alta",162.5
171.2,"M","mediana",161
173.5,"M","mediana",159.7
158.1,"F","mediana",156.9
175,"M","mediana",159.2
173.2,"M","mediana",161.2
154.6,"F","mediana",160.5
172.2,"M","bajita",152
155.8,"F","mediana",161.9
175,"M","alta",162.7
173.3,"M","mediana",157.8
156.8,"F","mediana",156.3
168.9,"M","mediana",158.4
174.3,"M","alta",163.4
171.7,"M","mediana",159
156.7,"F","bajita",155.6
162.3,"F","mediana",161.4
160.7,"F","alta",164.9
164.4,"F","alta",163.5
173.9,"M","mediana",160.7
175.8,"M","mediana",156
174.7,"M","mediana",161.1
171.9,"M","mediana",158.7
171.7,"M","mediana",156.4
161.2,"F","alta",164.9
172.9,"M","mediana",156.8
170.8,"M","alta",162.7
175.4,"M","mediana",161.5
160.8,"F","mediana",161.4
163.1,"F","mediana",159.9
160.6,"F","bajita",155.3
174.1,"M","mediana",160.5
170.4,"M","mediana",157.4
164.4,"F","alta",163.4
157.8,"F","mediana",157.9
162,"F","alta",165.1
174.3,"M","mediana",161.6
158.8,"F","mediana",160.6
172.2,"M","mediana",156
171.5,"M","bajita",155.4
158.9,"F","bajita",155.8
167.4,"M","mediana",159.6
162.1,"F","alta",164.6
173.9,"M","alta",164.6
174.3,"M","mediana",160
152.1,"F","mediana",157
173.7,"M","mediana",160.3
173.5,"M","alta",162.5
154.3,"F","bajita",154.2
160.3,"F","alta",162.8
170.4,"M","bajita",155.6
159.6,"F","alta",162.5
174,"M","mediana",161.6
159.9,"F","mediana",160.7
161.6,"F","mediana",159.4
161.7,"F","alta",163.1
173.7,"M","mediana",160.3
171.8,"M","mediana",157.5
169.9,"M","bajita",152.7
171.2,"M","mediana",157.8
158.4,"F","mediana",156
160.4,"F","mediana",160.4
166.8,"M","mediana",157.7
158.8,"F","mediana",160.6
171.5,"M","alta",162.6
155.5,"F","bajita",153.7
171,"M","mediana",160.3
161.1,"F","mediana",159.5
157.2,"F","mediana",160.3
160.4,"F","mediana",157.4
160.6,"F","mediana",160.9
158.3,"F","bajita",155.2
171.6,"M","mediana",159.8
157.2,"F","bajita",155
159.4,"F","mediana",156.8
155.6,"F","mediana",156.1
166.3,"M","mediana",156.1
164,"F","alta",163.6
164,"F","mediana",159.2
172.6,"M","alta",162.8
164,"F","mediana",160.7
162.1,"F","mediana",161.4
173.9,"M","mediana",157.3
172.8,"M","mediana",158.2
155,"F","mediana",157.9
167.6,"M","mediana",157.6
156.4,"F","bajita",155.6
170.2,"M","mediana",158.2
160.2,"F","mediana",159.2
163.1,"F","mediana",160.9
154.9,"F","bajita",152.1
158.2,"F","mediana",158.1
158.6,"F","bajita",155.9
168.2,"M","mediana",158.1
161.4,"F","mediana",161.9
157.6,"F","bajita",155
162.6,"F","mediana",161.1
174,"M","mediana",156.6
170.8,"M","mediana",158.3
158.3,"F","mediana",159.2
173.7,"M","mediana",161.9
168,"M","mediana",157.2
173.6,"M","mediana",159.7
169.5,"M","bajita",155.1
160,"F","mediana",158.8
172,"M","mediana",158.1
157.5,"F","mediana",161.3
159.3,"F","mediana",161.5
162.4,"F","mediana",160.8
159.1,"F","mediana",157.2
158.6,"F","mediana",156.7
160.4,"F","mediana",159.8
177.5,"M","mediana",157.1
157.7,"F","alta",163.4
157.3,"F","mediana",156
162.2,"F","alta",162.3
157.2,"F","mediana",158.8
174.9,"M","mediana",161.3
167.9,"M","bajita",153.8
161,"F","mediana",156.8
172.9,"M","mediana",158
156.8,"F","bajita",155.2
158.3,"F","mediana",158.7
157.5,"F","mediana",158.2
171.7,"M","mediana",159.1
174.4,"M","mediana",160.8
175.8,"M","mediana",156.8
153.1,"F","bajita",150.9
158.5,"F","mediana",158.2
161.5,"F","alta",164.2
176.6,"M","alta",163
154.2,"F","alta",162.1
174.1,"M","mediana",157.9
174.6,"M","mediana",159.9
174.6,"M","mediana",160.8
164.3,"F","mediana",160.2
155.7,"F","mediana",156.1
170.3,"M","mediana",157.8
172.9,"M","mediana",157.6
175,"M","mediana",159.2
157.3,"F","mediana",161.4
170.1,"M","alta",163.1
169.3,"M","bajita",153.7
175.8,"M","alta",163.3
156.2,"F","mediana",161.7
159.2,"F","mediana",160.3
171.8,"M","mediana",157.9
174.7,"M","mediana",158.6
169.6,"M","mediana",161.1
173.3,"M","alta",162.7
160.2,"F","alta",162.2
172.8,"M","mediana",161.2
169.8,"M","mediana",156.6
175.1,"M","mediana",156.8
170.5,"M","mediana",159
175.1,"M","alta",164.6
177.5,"M","mediana",159.3
170.9,"M","mediana",161.3
168.8,"M","mediana",159.7
172.5,"M","mediana",160.7
178.8,"M","mediana",161.6
153.3,"F","bajita",155.5
174.9,"M","mediana",156.8
158.2,"F","mediana",157.9
159.1,"F","alta",162.4
161.3,"F","mediana",160.2
173.5,"M","alta",163.1
159,"F","mediana",156.7
181.5,"M","alta",166.5
172.8,"M","alta",164.9
158.1,"F","mediana",159.1
158.1,"F","mediana",157.2
162.1,"F","alta",162.9
169.8,"M","mediana",158.7
161.4,"F","mediana",161
155.1,"F","mediana",158.1
171.7,"M","bajita",155.4
172.7,"M","alta",167.6
157.6,"F","mediana",161.7
162.6,"F","mediana",161.3
174.6,"M","mediana",161.1
154.3,"F","mediana",158.8
162.7,"F","mediana",160.5
173,"M","alta",162.2
151.7,"F","bajita",155.5
168.7,"M","bajita",152.9
176.2,"M","mediana",158.8
175.3,"M","mediana",158
154.1,"F","bajita",154.7
163.1,"F","mediana",161.4
159.3,"F","mediana",158.2
174.9,"M","bajita",152.9
170.8,"M","mediana",158.7
170,"M","mediana",157.8
161.5,"F","mediana",158.2
168.1,"M","mediana",157.5
172.7,"M","mediana",159.8
160.8,"F","mediana",157.4
168.8,"M","bajita",151.4
160.8,"F","mediana",160.4
168.4,"M","mediana",156.2
174.3,"M","mediana",161.9
173,"M","mediana",161.3
158.3,"F","bajita",154.8
156.6,"F","mediana",156.5
163.6,"F","mediana",160.4
158.9,"F","mediana",159.3
163.9,"F","alta",163.7
175.9,"M","alta",164.1
154.5,"F","mediana",158.1
174.2,"M","alta",163.2
163,"F","alta",162.4
154.8,"F","mediana",159.6
162,"F","mediana",159.5
173.3,"M","mediana",160.6
161.6,"F","alta",162.9
158.5,"F","mediana",159.4
176.1,"M","alta",163.6
162,"F","mediana",159.3
169.3,"M","mediana",157.3
173.5,"M","mediana",157.5
160.5,"F","alta",163.5
158.1,"F","bajita",155.7
170.6,"M","mediana",160.3
174.3,"M","alta",162.9
174.2,"M","mediana",160.4
173.4,"M","mediana",158.8
158.2,"F","mediana",158.5
162.4,"F","mediana",161.2
160,"F","mediana",158.9
159.4,"F","alta",162.3
175.8,"M","mediana",161.9
171.9,"M","mediana",160.7
173.8,"M","alta",162.6
153,"F","mediana",158.6
171.4,"M","mediana",156.9
155.6,"F","mediana",158.6
163.2,"F","mediana",160.9
153.2,"F","mediana",158.4
172.8,"M","alta",165.2
173.4,"M","mediana",160.3
171.9,"M","mediana",160.5
174.4,"M","alta",165.2
160.5,"F","mediana",159.5
159.4,"F","bajita",154
168.2,"M","mediana",156.5
163.6,"F","alta",162.1
167,"M","mediana",158.4
173.1,"M","mediana",157.8
174.1,"M","alta",162.2
162.9,"F","mediana",160.3
161,"F","mediana",160.5
161.8,"F","alta",162.8
175.6,"M","mediana",161.1
167.1,"M","mediana",158.1
162.8,"F","alta",163.6
176,"M","alta",164.6
159.1,"F","alta",164.9
161.6,"F","alta",165.7
176.2,"M","alta",162.7
173.2,"M","mediana",160.3
176.1,"M","mediana",161
156.4,"F","mediana",158.3
161.2,"F","alta",163.1
159.8,"F","mediana",160.8
157.2,"F","mediana",156.2
156.2,"F","mediana",158.3
174.1,"M","mediana",157.6
174.2,"M","mediana",157.9
174.8,"M","mediana",161.6
175.7,"M","mediana",161.8
159.6,"F","mediana",158.2
170.3,"M","mediana",158.6
156.5,"F","mediana",157.6
172.8,"M","mediana",161.9
177.1,"M","alta",164.3
163.6,"F","alta",162.9
170.9,"M","mediana",157.6
161.6,"F","mediana",161.3
161.6,"F","mediana",159.3
173.1,"M","bajita",154.9
163,"F","mediana",160.4
177.4,"M","alta",162.4
154.3,"F","mediana",159.6
161,"F","bajita",155.3
159.1,"F","alta",162.7
173.1,"M","mediana",160.8
159.1,"F","mediana",160.6
160.5,"F","mediana",162
157.6,"F","mediana",157.8
